<<<<<<< Updated upstream
시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
양평군,서종면,730,216,802,3,568,260,193,82,559,1.83,1,2021-09-07
양평군,양동면,253,191,172,1,134,51,179,40,164,2.22,0,2021-09-07
양평군,양서면,703,220,753,0,582,250,141,68,608,1.6,1,2021-09-07
양평군,양평읍,1793,807,1424,1,1151,551,530,84,1399,1.6,6,2021-09-07
양평군,옥천면,570,293,493,2,371,228,189,64,479,1.65,0,2021-09-07
양평군,용문면,1080,453,1053,1,696,345,466,87,886,1.7,2,2021-09-07
양평군,지평면,380,205,412,0,277,126,214,54,314,1.96,0,2021-09-07
양평군,청운면,288,190,191,0,117,95,169,41,205,1.86,0,2021-09-07
여주시,가남읍,636,124,512,0,307,192,137,55,421,1.51,0,2021-08-31
여주시,가업동,22,14,8,0,7,2,13,9,9,2.44,0,2021-08-31
여주시,강천면,270,107,163,0,70,92,108,37,157,1.72,0,2021-08-31
여주시,교동,175,34,141,0,84,53,38,30,139,1.26,1,2021-08-31
여주시,금사면,168,66,102,2,55,39,74,36,96,1.75,0,2021-08-31
여주시,능서면,424,193,231,0,86,141,197,44,242,1.75,1,2021-08-31
여주시,능현동,60,10,50,0,31,17,12,24,34,1.76,0,2021-08-31
여주시,단현동,26,6,20,0,8,8,10,13,16,1.63,0,2021-08-31
여주시,대신면,239,93,144,2,72,67,100,33,160,1.49,0,2021-08-31
여주시,매룡동,21,10,11,0,4,7,10,9,12,1.75,0,2021-08-31
여주시,멱곡동,72,20,52,0,29,22,21,19,48,1.5,0,2021-08-31
여주시,북내면,230,58,172,1,73,102,55,40,138,1.67,0,2021-08-31
여주시,산북면,170,92,78,0,54,29,87,40,98,1.73,0,2021-08-31
여주시,삼교동,38,14,24,0,16,8,14,14,23,1.65,0,2021-08-31
여주시,상거동,10,7,3,0,2,1,7,6,5,2,0,2021-08-31
여주시,상동,147,29,118,0,74,42,31,30,99,1.48,0,2021-08-31
여주시,신진동,11,6,5,0,4,1,6,8,9,1.22,0,2021-08-31
여주시,연라동,53,26,27,0,7,23,23,21,24,2.21,0,2021-08-31
여주시,연양동,94,18,76,0,35,42,17,26,66,1.42,0,2021-08-31
여주시,오금동,10,1,9,0,5,3,2,7,7,1.43,0,2021-08-31
여주시,오학동,278,70,208,0,116,83,79,31,187,1.49,0,2021-08-31
여주시,우만동,9,1,8,0,5,3,1,7,9,1,0,2021-08-31
여주시,월송동,171,22,149,0,81,61,29,24,118,1.45,0,2021-08-31
여주시,점동면,268,150,118,0,53,102,113,35,119,2.25,1,2021-08-31
여주시,점봉동,270,38,232,0,140,81,49,39,205,1.32,0,2021-08-31
여주시,창동,127,29,98,0,56,42,29,26,87,1.46,0,2021-08-31
여주시,천송동,181,46,135,0,65,64,52,30,126,1.44,0,2021-08-31
여주시,하거동,17,2,15,0,9,6,2,9,10,1.7,0,2021-08-31
여주시,하동,224,57,167,0,90,64,70,28,160,1.4,0,2021-08-31
여주시,현암동,309,79,230,0,137,85,87,44,218,1.42,0,2021-08-31
여주시,홍문동,301,52,249,0,135,117,49,38,201,1.5,2,2021-08-31
여주시,흥천면,221,52,169,0,69,100,52,31,122,1.81,0,2021-08-31
연천군,군남면,80,11,69,0,52,21,7,26,58,1.38,0,2021-08-19
연천군,미산면,95,13,82,0,72,23,0,17,37,2.57,0,2021-08-19
연천군,백학면,73,6,67,0,38,26,9,25,46,1.59,0,2021-08-19
연천군,신서면,59,11,48,0,40,14,5,20,45,1.31,0,2021-08-19
연천군,연천읍,177,12,165,0,99,66,12,39,126,1.4,0,2021-08-19
연천군,왕징면,13,1,12,0,11,2,0,8,9,1.44,0,2021-08-19
연천군,장남면,14,5,9,0,12,2,0,5,9,1.56,0,2021-08-19
연천군,전곡읍,709,61,648,0,363,301,45,63,524,1.35,2,2021-08-19
연천군,중면,9,0,9,0,1,7,1,5,6,1.5,0,2021-08-19
연천군,청산면,140,21,119,0,71,51,18,30,79,1.77,0,2021-08-19
오산시,가수동,262,12,250,0,169,84,9,32,189,1.39,,2021-03-18
오산시,가장동,19,1,18,0,13,6,0,10,14,1.36,,2021-03-18
오산시,갈곶동,535,17,518,0,367,157,11,46,423,1.26,1,2021-03-18
오산시,고현동,160,4,156,0,110,47,3,36,124,1.29,,2021-03-18
오산시,궐동,1414,46,1368,0,843,542,29,60,1057,1.34,2,2021-03-18
오산시,금암동,1039,37,1002,1,705,309,25,48,783,1.33,2,2021-03-18
오산시,내삼미동,393,18,375,0,254,131,8,42,304,1.29,,2021-03-18
오산시,누읍동,329,7,322,0,210,115,4,36,259,1.27,,2021-03-18
오산시,두곡동,6,0,6,0,3,3,0,5,5,1.2,,2021-03-18
오산시,벌음동,6,0,6,0,6,0,0,5,5,1.2,,2021-03-18
오산시,부산동,498,25,473,0,339,134,25,40,409,1.22,,2021-03-18
오산시,서동,183,7,176,0,119,60,4,26,153,1.2,,2021-03-18
오산시,서랑동,2,0,2,0,1,1,0,2,2,1,,2021-03-18
오산시,세교동,261,20,241,0,173,72,16,33,209,1.25,,2021-03-18
오산시,수청동,601,18,583,0,365,223,13,49,464,1.3,2,2021-03-18
오산시,양산동,173,9,164,1,123,41,9,31,135,1.28,,2021-03-18
오산시,오산동,1098,45,1053,0,758,316,24,51,805,1.36,3,2021-03-18
오산시,외삼미동,32,4,28,0,19,11,2,16,27,1.19,,2021-03-18
오산시,원동,2009,81,1928,4,1337,605,67,58,1493,1.35,5,2021-03-18
오산시,은계동,231,5,226,0,168,60,3,30,177,1.31,,2021-03-18
오산시,지곶동,119,7,112,0,75,40,4,24,99,1.2,,2021-03-18
오산시,청학동,117,2,115,0,80,36,1,31,87,1.34,,2021-03-18
오산시,청호동,324,13,311,0,191,123,10,40,258,1.26,,2021-03-18
오산시,탑동,17,0,17,0,13,4,0,11,13,1.31,,2021-03-18
의왕시,고천동,171,41,130,,84,48,39,30,141,1.21,2,2021-06-18
의왕시,내손동,1910,289,1621,,987,533,390,69,1473,1.3,2,2021-06-18
의왕시,삼동,927,96,831,,584,243,101,54,704,1.32,0,2021-06-18
의왕시,오전동,1505,305,1200,,756,401,348,56,1202,1.25,2,2021-06-18
의왕시,왕곡동,367,69,298,,202,87,78,35,250,1.47,0,2021-06-18
의왕시,월암동,43,4,39,,16,17,10,19,21,2.05,0,2021-06-18
의왕시,이동,61,8,53,,35,15,11,14,44,1.39,0,2021-06-18
의왕시,청계동,392,45,347,,188,142,62,44,303,1.29,3,2021-06-18
의왕시,초평동,57,14,43,,29,12,16,15,33,1.73,0,2021-06-18
의왕시,포일동,910,95,815,,426,308,176,60,724,1.26,0,2021-06-18
의왕시,학의동,247,33,214,,126,82,39,35,187,1.32,0,2021-06-18
의정부시,,58997,314,58683,0,12679,31835,14483,209,,,39,2021-09-01
이천시,갈산동,583,53,530,0,344,165,74,51,440,1.33,0,2021-07-29
이천시,고담동,78,9,69,0,33,35,10,27,60,1.3,0,2021-07-29
이천시,관고동,349,29,319,1,175,139,35,39,276,1.26,1,2021-07-29
이천시,단월동,36,8,28,0,20,9,7,15,24,1.5,0,2021-07-29
이천시,대월면,664,75,589,0,341,233,90,50,460,1.44,0,2021-07-29
이천시,대포동,69,4,65,0,51,9,9,17,29,2.38,0,2021-07-29
이천시,마장면,687,90,596,1,376,211,100,59,498,1.38,1,2021-07-29
이천시,모가면,234,22,212,0,170,36,28,43,106,2.21,0,2021-07-29
이천시,백사면,650,83,567,0,341,211,98,52,444,1.46,0,2021-07-29
이천시,부발읍,1727,153,1574,0,961,583,183,69,1270,1.36,1,2021-07-29
이천시,사음동,235,17,218,0,130,82,23,36,168,1.4,0,2021-07-29
이천시,설성면,262,136,126,0,82,43,137,50,101,2.59,1,2021-07-29
이천시,송정동,563,51,512,0,316,180,67,54,448,1.26,0,2021-07-29
이천시,신둔면,886,103,783,0,492,279,115,66,552,1.61,0,2021-07-29
이천시,안흥동,306,34,272,0,182,76,48,36,224,1.37,0,2021-07-29
이천시,율면,81,12,69,0,54,15,12,24,40,2.03,0,2021-07-29
이천시,율현동,15,2,13,0,8,6,1,7,10,1.5,0,2021-07-29
이천시,장록동,34,8,26,0,17,9,8,16,23,1.48,0,2021-07-29
이천시,장호원읍,528,110,418,0,275,130,123,54,307,1.72,1,2021-07-29
이천시,중리동,385,33,352,0,217,122,46,47,294,1.31,1,2021-07-29
이천시,증일동,61,1,60,0,33,26,2,16,48,1.27,0,2021-07-29
이천시,증포동,823,55,768,0,448,300,75,50,641,1.28,1,2021-07-29
이천시,진리동,34,2,32,0,18,14,2,14,24,1.42,2,2021-07-29
이천시,창전동,1014,51,963,0,589,347,78,55,771,1.32,4,2021-07-29
이천시,호법면,246,34,212,0,124,87,35,43,162,1.52,0,2021-07-29
파주시,검산동,246,9,237,0,142,89,15,31,171,1.44,0,2021-06-16
파주시,광탄면,591,41,549,1,355,187,49,57,332,1.78,0,2021-06-16
파주시,교하동,204,4,200,0,122,77,5,23,48,4.25,3,2021-06-16
파주시,교하읍,509,0,509,0,505,4,0,39,410,1.24,0,2021-06-16
파주시,군내면,6,0,6,0,2,4,0,3,5,1.2,0,2021-06-16
파주시,금능동,43,1,42,0,28,15,0,15,36,1.19,0,2021-06-16
파주시,금릉동,164,6,158,0,102,54,8,33,118,1.39,1,2021-06-16
파주시,금촌동,2809,120,2689,0,1707,899,203,81,2086,1.35,7,2021-06-16
파주시,다율동,461,19,442,0,259,165,37,46,351,1.31,0,2021-06-16
파주시,당하동,72,4,68,0,46,19,7,19,44,1.64,0,2021-06-16
파주시,동패동,2056,41,2014,1,1134,801,121,66,1513,1.36,1,2021-06-16
파주시,맥금동,23,6,17,0,10,9,4,9,21,1.1,0,2021-06-16
파주시,목동동,2682,70,2612,0,1592,911,179,85,2049,1.31,5,2021-06-16
파주시,문발동,501,7,494,0,303,174,24,55,357,1.4,0,2021-06-16
파주시,문산읍,2236,68,2166,2,1231,885,120,78,1591,1.41,3,2021-06-16
파주시,법원읍,592,24,565,3,395,154,43,50,353,1.68,0,2021-06-16
파주시,산남동,135,8,127,0,88,38,9,42,75,1.8,0,2021-06-16
파주시,상지석동,298,9,289,0,169,101,28,44,197,1.51,0,2021-06-16
파주시,서패동,30,0,30,0,23,7,0,12,20,1.5,0,2021-06-16
파주시,송촌동,55,1,54,0,45,10,0,15,19,2.89,0,2021-06-16
파주시,신촌동,44,2,42,0,20,17,7,23,28,1.57,0,2021-06-16
파주시,아동동,819,33,786,0,454,280,85,47,616,1.33,0,2021-06-16
파주시,야당동,2818,59,2757,2,1749,853,216,81,1998,1.41,6,2021-06-16
파주시,야동동,267,9,257,1,153,98,16,39,206,1.3,0,2021-06-16
파주시,연다산동,32,4,28,0,16,14,2,15,20,1.6,0,2021-06-16
파주시,오도동,48,0,48,0,30,16,2,17,22,2.18,0,2021-06-16
파주시,와동동,2575,43,2530,2,1690,726,159,71,1439,1.79,3,2021-06-16
파주시,월롱면,395,16,378,1,244,127,24,55,257,1.54,0,2021-06-16
파주시,적성면,224,18,206,0,134,62,28,41,167,1.34,0,2021-06-16
파주시,조리읍,1354,87,1267,0,735,461,158,65,959,1.41,0,2021-06-16
파주시,진동면,7,0,7,0,7,0,0,5,3,2.33,0,2021-06-16
파주시,탄현면,888,60,827,1,524,282,82,70,558,1.59,0,2021-06-16
파주시,파주읍,700,45,654,1,404,199,97,52,419,1.67,0,2021-06-16
파주시,파평면,134,6,128,0,72,51,11,25,75,1.79,0,2021-06-16
파주시,하지석동,39,3,36,0,23,16,0,16,21,1.86,0,2021-06-16
평택시,가재동,186,49,137,0,72,57,57,28,126,1.48,,2021-08-25
평택시,고덕면,1245,381,864,0,483,350,412,73,787,1.58,,2021-08-25
평택시,군문동,210,28,182,0,111,65,34,36,159,1.32,,2021-08-25
평택시,도일동,102,46,55,1,31,23,48,26,61,1.67,,2021-08-25
평택시,독곡동,564,78,485,1,289,178,97,42,409,1.38,,2021-08-25
평택시,동삭동,1391,142,1249,0,765,419,207,65,1031,1.35,,2021-08-25
평택시,모곡동,13,5,8,0,5,3,5,7,10,1.3,,2021-08-25
평택시,비전동,3168,393,2774,1,1604,1090,474,84,2450,1.29,,2021-08-25
평택시,서정동,2905,299,2600,6,1579,897,429,77,2074,1.4,,2021-08-25
평택시,서탄면,259,84,174,1,100,72,87,48,174,1.49,,2021-08-25
평택시,세교동,1314,197,1117,0,624,450,240,64,996,1.32,,2021-08-25
평택시,소사동,426,79,347,0,207,118,101,44,320,1.33,,2021-08-25
평택시,신대동,52,13,39,0,26,13,13,14,36,1.44,,2021-08-25
평택시,신장동,1388,135,1252,1,778,408,202,67,969,1.43,,2021-08-25
평택시,안중읍,2081,312,1769,0,972,741,368,85,1529,1.36,,2021-08-25
평택시,오성면,543,277,266,0,150,106,287,54,315,1.72,,2021-08-25
평택시,용이동,1652,209,1443,0,848,540,264,73,1272,1.3,,2021-08-25
평택시,월곡동,43,4,37,2,15,22,6,19,25,1.72,,2021-08-25
평택시,유천동,37,9,28,0,20,8,9,13,26,1.42,,2021-08-25
평택시,이충동,1457,143,1314,0,699,572,186,60,1115,1.31,,2021-08-25
평택시,장당동,455,35,420,0,229,177,49,39,373,1.22,,2021-08-25
평택시,장안동,335,59,275,1,158,103,74,35,259,1.29,,2021-08-25
평택시,죽백동,680,104,576,0,327,218,135,53,515,1.32,,2021-08-25
평택시,지산동,1662,223,1439,0,889,519,254,72,1231,1.35,,2021-08-25
평택시,지제동,60,16,44,0,24,19,17,21,36,1.67,,2021-08-25
평택시,진위면,777,240,537,0,298,224,255,59,488,1.59,,2021-08-25
평택시,청룡동,22,4,18,0,7,11,4,9,15,1.47,,2021-08-25
평택시,청북면,195,10,185,0,79,102,14,30,145,1.34,,2021-08-25
평택시,청북읍,1137,236,901,0,491,358,288,62,767,1.48,,2021-08-25
평택시,칠괴동,94,13,81,0,35,42,17,24,61,1.54,,2021-08-25
평택시,칠원동,336,53,283,0,160,96,80,36,232,1.45,,2021-08-25
평택시,통복동,450,58,390,2,203,174,73,45,353,1.27,,2021-08-25
평택시,팽성읍,1748,400,1346,2,832,452,464,85,1193,1.47,,2021-08-25
평택시,평택동,402,44,358,0,217,127,58,46,290,1.39,,2021-08-25
평택시,포승읍,1310,168,1141,1,620,491,199,64,934,1.4,,2021-08-25
평택시,합계,30234,4805,25409,20,14683,9733,5818,148,21859,1.38,,2021-08-25
평택시,합정동,1245,177,1067,1,638,395,212,61,903,1.38,,2021-08-25
평택시,현덕면,290,82,208,0,98,93,99,40,180,1.61,,2021-08-25
포천시,가산면,598,1,597,0,422,120,56,59,242,2.47,0,2021-08-24
포천시,관인면,139,1,138,0,46,43,50,23,91,1.53,0,2021-08-24
포천시,군내면,739,3,735,1,423,94,222,58,351,2.1,1,2021-08-24
포천시,내촌면,257,7,250,0,136,58,63,38,129,1.99,0,2021-08-24
포천시,동교동,73,0,73,0,52,18,3,25,40,1.83,0,2021-08-24
포천시,선단동,858,10,847,1,623,129,106,54,532,1.61,1,2021-08-24
포천시,설운동,68,0,68,0,43,7,18,20,38,1.79,0,2021-08-24
포천시,소흘읍,3892,15,3876,1,2679,1013,200,86,1712,2.27,3,2021-08-24
포천시,신북면,951,6,942,3,625,102,224,63,530,1.79,0,2021-08-24
포천시,신읍동,1292,11,1281,0,942,116,234,57,842,1.53,2,2021-08-24
포천시,어룡동,195,2,193,0,138,25,32,37,95,2.05,0,2021-08-24
포천시,영북면,427,8,419,0,229,104,94,45,286,1.49,0,2021-08-24
포천시,영중면,489,18,470,1,311,58,120,40,160,3.06,0,2021-08-24
포천시,이동면,339,6,332,1,162,68,109,42,198,1.71,0,2021-08-24
포천시,일동면,509,7,502,0,280,65,164,54,306,1.66,0,2021-08-24
포천시,자작동,63,0,63,0,34,13,16,12,32,1.97,0,2021-08-24
포천시,창수면,135,0,133,2,93,8,34,28,52,2.6,0,2021-08-24
포천시,화현면,144,0,142,2,73,17,54,28,83,1.73,0,2021-08-24
하남시,-,13217,1008,12202,7,8046,3598,1573,119,9827,1.34,22,2021-06-24
화성시,금곡동,26,4,22,0,13,9,4,10,16,1.63,,2020-03-11
화성시,기산동,499,22,476,1,265,195,39,41,387,1.29,,2020-03-11
화성시,기안동,698,24,674,0,427,189,82,47,556,1.26,1,2020-03-11
화성시,남양읍,1270,227,1041,2,663,380,227,130,907,22.82,0,2020-03-11
화성시,능동,2148,85,2062,1,1186,822,140,60,1709,1.26,3,2020-03-11
화성시,동탄면,139,4,135,0,72,66,1,33,104,1.34,1,2020-03-11
화성시,마도면,293,47,246,0,169,80,44,50,168,1.74,1,2020-03-11
화성시,매송면,288,52,236,0,132,81,75,34,205,1.4,,2020-03-11
화성시,목동,534,38,495,1,305,178,51,38,412,1.29,1,2020-03-11
화성시,반송동,3096,96,2999,1,1832,1140,124,68,2464,1.26,9,2020-03-11
화성시,반월동,1006,41,965,0,571,367,68,55,818,1.23,3,2020-03-11
화성시,반정동,50,2,48,0,32,14,4,18,35,1.43,,2020-03-11
화성시,방교동,71,5,66,0,53,11,7,22,43,1.65,,2020-03-11
화성시,배양동,36,6,30,0,23,6,7,15,24,1.5,,2020-03-11
화성시,병점동,2068,44,2020,4,1145,806,117,64,1664,1.24,4,2020-03-11
화성시,봉담읍,3278,163,3113,2,1925,1052,301,75,2488,1.32,6,2020-03-11
화성시,비봉면,212,47,164,1,109,53,50,39,133,1.59,,2020-03-11
화성시,산척동,595,70,525,0,314,190,91,45,460,1.29,1,2020-03-11
화성시,새솔동,362,48,314,0,193,94,75,32,285,1.27,1,2020-03-11
화성시,서신면,232,36,196,0,130,68,34,43,142,1.63,,2020-03-11
화성시,석우동,573,21,552,0,368,177,28,41,479,1.2,,2020-03-11
화성시,송동,145,17,128,0,78,52,15,29,121,1.2,,2020-03-11
화성시,송산동,464,16,447,1,223,205,36,42,339,1.37,2,2020-03-11
화성시,송산면,361,35,325,1,226,98,37,45,225,1.6,1,2020-03-11
화성시,신동,3,0,3,0,3,0,0,3,2,1.5,,2020-03-11
화성시,안녕동,1414,46,1366,2,1078,266,70,58,448,3.16,,2020-03-11
화성시,양감면,175,48,127,0,42,69,64,29,91,1.92,,2020-03-11
화성시,영천동,889,44,845,0,497,306,86,45,672,1.32,4,2020-03-11
화성시,오산동,455,33,422,0,253,158,44,48,377,1.21,1,2020-03-11
화성시,우정읍,649,57,591,1,332,249,68,53,425,1.53,1,2020-03-11
화성시,우정읍,649,57,591,1,332,249,68,53,425,1.53,1,2020-03-11
화성시,원천동,2,0,2,0,2,0,0,2,1,2,,2020-03-11
화성시,장덕동,4,0,4,0,1,3,0,2,3,1.33,,2020-03-11
화성시,장안면,420,64,355,1,200,148,72,43,227,1.85,,2020-03-11
화성시,장안면,420,64,355,1,200,148,72,43,227,1.85,,2020-03-11
화성시,장전동,2,0,2,0,0,2,0,2,1,2,,2020-03-11
화성시,장지동,389,40,349,0,208,138,43,41,297,1.31,,2020-03-11
화성시,장지동,389,40,349,0,208,138,43,41,297,1.31,,2020-03-11
화성시,정남면,503,45,457,1,263,184,56,53,327,1.54,1,2020-03-11
화성시,정남면,503,45,457,1,263,184,56,53,327,1.54,1,2020-03-11
화성시,중동,30,20,10,0,3,5,22,9,6,5,,2020-03-11
화성시,진안동,1427,41,1385,1,732,579,116,60,1069,1.33,2,2020-03-11
화성시,진안동,1427,41,1385,1,732,579,116,60,1069,1.33,2,2020-03-11
화성시,청계동,1080,67,1013,0,598,412,70,47,875,1.23,2,2020-03-11
화성시,청계동,1080,67,1013,0,598,412,70,47,875,1.23,2,2020-03-11
화성시,팔탄면,428,73,354,1,148,189,91,44,249,1.72,,2020-03-11
화성시,팔탄면,428,73,354,1,148,189,91,44,249,1.72,,2020-03-11
화성시,향남읍,3107,277,2828,2,1121,1633,353,82,2269,1.37,5,2020-03-11
화성시,향남읍,3107,277,2828,2,1121,1633,353,82,2269,1.37,5,2020-03-11
화성시,활초동,15,0,15,0,4,11,0,7,11,1.36,,2020-03-11
화성시,황계동,36,15,21,0,8,8,20,12,11,3.27,,2020-03-11
화성시,황계동,36,15,21,0,8,8,20,12,11,3.27,,2020-03-11
>>>>>>> a465cac0066372b01f65e9374fda929d35847f93
>>>>>>> Stashed changes

